Boar Stud,Inventory,Target,Inventory to target,actual,target,Missed Index,WeekCommencing,yrwk,Average Days Rest,Standard Deviation,Total Boars,Boars Trained Within 14 Days,Percent Trained,Semen Quality Cull Errors,Will Not Train Errors,Index Cull Errors,Removal Reason Errors,IScore,TScore,RScore,CScore,Total
MB 7081,191,200,95.5,105.1217188,105.1465777,0.033686559,19450,202314,7.354609929,2.14187752,46,41,89.13043478,11,0,0,11,4,2,2,0,8
MB 7082,198,200,99,105.6438385,105.6438385,0.014705882,19450,202314,7.392473118,2.021973163,71,71,100,16,0,0,16,4,3,2,0,9
MB 7092,395,250,158,103.7465182,103.7494453,0.002927007,19450,202314,7.511904762,2.639511703,68,65,95.58823529,23,0,0,23,4,3,2,0,9
MB 7093,460,450,102.2222222,105.8574266,105.8587561,0.001329567,19450,202314,8.578680203,3.11691638,110,110,100,8,0,0,8,4,3,1,0,8
MB 7094,375,450,83.33333333,106.0024181,106.12895,0.1265319,19450,202314,7.305475504,1.436135225,389,328,84.31876607,0,0,0,0,3,2,2,1,8
MBW Cimarron,377,399,94.48621554,107.3737462,107.570865,0.197118741,19450,202314,6.919354839,1.91821778,202,172,85.14851485,15,5,25,45,3,2,2,0,7
MBW Cyclone,348,403,86.35235732,103.0909308,103.5335407,0.397559848,19450,202314,11.31268437,5.627188715,100,90,90,3,0,0,3,1,3,0,0,4
MBW Yuma,152,203,74.87684729,105.3281368,105.3281368,0.054945055,19450,202314,7.173333333,1.518329472,66,41,62.12121212,0,0,1,1,4,0,2,0,6
Skyline Boar Stud,157,200,78.5,102.6040721,102.6040721,0,19450,202314,6.908496732,0.491499814,23,23,100,30,0,18,48,4,3,2,0,9
SPG9644,324,0,0,105.0783536,105.0783536,0,19450,202314,9.584615385,3.661939515,70,69,98.57142857,6,0,0,6,4,3,0,0,7
SPGNC,202,220,91.81818182,112.8559395,112.8559395,0,19450,202314,8.316770186,2.787073645,55,54,98.18181818,4,0,0,4,4,3,1,0,8
SPGVA,276,292,94.52054795,116.022716,116.022716,0.028169014,19450,202314,7.087301587,0.919204933,84,83,98.80952381,0,0,0,0,4,3,2,1,10
MB 7081,190,200,95,105.4112209,105.4112209,0.016260163,19457,202315,8.080745342,2.759019652,76,68,89.47368421,11,0,0,11,4,2,1,0,7
MB 7082,199,200,99.5,104.6606925,104.9316141,0.525140851,19457,202315,7.14516129,1.164986127,71,71,100,16,0,0,16,0,3,2,0,5
MB 7092,469,250,187.6,103.5854304,103.5955045,0.010074174,19457,202315,7.611764706,2.299642746,68,65,95.58823529,23,0,0,23,4,3,2,0,9
MB 7093,460,450,102.2222222,104.7132807,104.764397,0.05111625,19457,202315,7.391044776,2.161013522,110,110,100,8,0,0,8,4,3,2,0,9
MB 7094,473,450,105.1111111,105.3293189,105.3293189,0,19457,202315,7.330555556,1.570678303,389,328,84.31876607,0,0,0,0,4,2,2,1,9
MBW Cimarron,375,399,93.98496241,106.3055701,106.4571219,0.151551779,19457,202315,8.073746313,3.102373753,100,87,87,15,5,25,45,3,2,1,0,6
MBW Cyclone,355,403,88.08933002,102.1804795,102.6073367,0.383784767,19457,202315,6.875776398,2.121710249,100,90,90,7,0,0,7,1,3,2,0,6
MBW Yuma,190,203,93.59605911,105.4319309,105.433777,0.001008898,19457,202315,6.866666667,1.150819181,66,41,62.12121212,0,0,1,1,4,0,2,0,6
Skyline Boar Stud,154,200,77,102.3343475,102.3343475,0,19457,202315,7.25,0.65853889,23,23,100,28,0,18,46,4,3,2,0,9
SPG9644,372,0,0,105.8615113,105.9168329,0.05532155,19457,202315,9.011152416,3.374048535,70,69,98.57142857,6,0,0,6,4,3,0,0,7
SPGNC,201,220,91.36363636,115.2918012,115.2918012,0,19457,202315,8.460431655,2.795612989,83,82,98.79518072,4,0,0,4,4,3,1,0,8
SPGVA,276,292,94.52054795,115.2977407,115.2977407,0.018518519,19457,202315,6.987854251,1.237890224,84,83,98.80952381,0,0,0,0,4,3,2,1,10
MB 7081,189,200,94.5,104.8504839,104.8504839,0,19464,202316,7.903614458,2.905019513,76,68,89.47368421,6,0,0,6,4,2,2,0,8
MB 7082,199,200,99.5,104.8245109,104.8245109,0.0078125,19464,202316,7.041666667,1.149611581,47,47,100,18,0,0,18,4,3,2,0,9
MB 7092,467,250,186.8,104.4094987,104.4209321,0.01143341,19464,202316,8.038834951,2.15136168,68,65,95.58823529,23,0,0,23,4,3,1,0,8
MB 7093,458,450,101.7777778,105.2994279,105.3091626,0.00973467,19464,202316,8.877805486,3.138077624,60,60,100,8,0,0,8,4,3,1,0,8
MB 7094,471,450,104.6666667,107.2599043,107.5971163,0.337212052,19464,202316,7.598484848,1.019653624,389,328,84.31876607,0,0,0,0,1,2,2,1,6
MBW Cimarron,374,399,93.73433584,105.8955663,106.0793859,0.183819588,19464,202316,7.343234323,1.563558124,100,87,87,10,5,3,18,3,2,2,0,7
MBW Cyclone,353,403,87.59305211,101.6746395,101.899266,0.316308977,19464,202316,7.021875,0.801344628,100,90,90,7,0,0,7,1,3,2,0,6
MBW Yuma,189,203,93.10344828,107.9561505,108.0271817,0.054749705,19464,202316,6.814814815,1.356933986,66,41,62.12121212,0,0,1,1,4,0,2,0,6
Skyline Boar Stud,152,200,76,103.2588426,103.2588426,0,19464,202316,6.695945946,0.893352501,23,23,100,26,0,16,42,4,3,2,0,9
SPG9644,372,0,0,106.785009,106.8705532,0.085544134,19464,202316,8.863095238,2.962693376,70,69,98.57142857,6,0,0,6,4,3,1,0,8
SPGNC,201,220,91.36363636,113.2272645,113.2272645,0,19464,202316,9.339181287,3.452473525,83,82,98.79518072,4,0,0,4,4,3,0,0,7
SPGVA,274,292,93.83561644,114.5102982,114.5102982,0,19464,202316,7.067961165,1.757282469,55,54,98.18181818,1,0,0,1,4,3,2,0,9
MB 7081,188,200,94,105.0069902,105.0069902,0,19471,202317,7.310606061,1.217760275,76,68,89.47368421,0,0,0,0,4,2,2,1,9
MB 7082,198,200,99,104.9919763,105.0369435,0.041382339,19471,202317,7.383783784,1.590992566,47,47,100,0,0,0,0,4,3,2,1,10
MB 7092,466,250,186.4,105.1348073,105.139898,0.005090674,19471,202317,7.732283465,2.688519899,68,65,95.58823529,0,0,0,0,4,3,2,1,10
MB 7093,411,450,91.33333333,104.8216758,104.8267154,0.005039515,19471,202317,6.976821192,1.26390965,60,60,100,10,0,0,10,4,3,2,0,9
MB 7094,471,450,104.6666667,107.6627839,107.783719,0.12093514,19471,202317,7.694915254,1.574451519,489,427,87.32106339,0,0,0,0,3,2,2,1,8
MBW Cimarron,373,399,93.48370927,101.5488875,108.9670417,7.418154235,19471,202317,8.404878049,3.425248754,100,87,87,0,0,0,0,0,2,1,1,4
MBW Cyclone,351,403,87.09677419,102.9702214,103.0818532,0.296590107,19471,202317,6.990536278,0.785492688,130,118,90.76923077,0,0,0,0,2,3,2,1,8
MBW Yuma,182,203,89.65517241,107.3401907,107.3401907,0.059405941,19471,202317,7.093023256,1.181018561,109,80,73.39449541,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,152,200,76,103.2278969,103.2355627,0.007665863,19471,202317,7.020547945,0.142353522,23,23,100,0,0,0,0,4,3,2,1,10
SPG9644,371,0,0,105.7843052,105.8261816,0.041876399,19471,202317,10.2724359,4.422190081,50,49,98,0,0,0,0,4,3,0,1,8
SPGNC,201,220,91.36363636,112.5205521,112.5205521,0,19471,202317,8.214285714,3.023520009,83,82,98.79518072,0,0,0,0,4,3,1,1,9
SPGVA,274,292,93.83561644,115.4081569,115.4081569,0.112903226,19471,202317,7.275555556,1.939849446,55,54,98.18181818,0,0,0,0,3,3,2,1,9
MB 7081,188,200,94,104.4348789,104.6129854,0.567898136,19478,202318,9.092105263,4.614051764,45,39,86.66666667,0,0,0,0,0,2,0,1,3
MB 7082,198,200,99,104.9659901,104.9725977,0.003875122,19478,202318,7.308571429,1.526277763,66,65,98.48484848,0,0,0,0,4,3,2,1,10
MB 7092,466,250,186.4,105.06621,105.139898,0.07368803,19478,202318,8.084183673,3.058768762,145,141,97.24137931,0,0,0,0,4,3,1,1,9
MB 7093,411,450,91.33333333,105.3181003,105.4201593,0.102058939,19478,202318,9.310626703,3.247777111,60,60,100,10,0,0,10,3,3,0,0,6
MB 7094,471,450,104.6666667,107.6787028,107.7160503,0.037347472,19478,202318,9.474074074,4.442419781,489,427,87.32106339,0,0,0,0,4,2,0,1,7
MBW Cimarron,373,399,93.48370927,109.0543588,110.1789678,1.124608989,19478,202318,10.81410256,5.035953675,100,87,87,0,0,0,0,0,2,0,1,3
MBW Cyclone,351,403,87.09677419,103.0001055,103.6016306,0.661328578,19478,202318,7.101639344,0.678255261,130,118,90.76923077,0,0,0,0,0,3,2,1,6
MBW Yuma,182,203,89.65517241,106.7221761,106.877933,0.18056664,19478,202318,6.827380952,1.020725489,109,80,73.39449541,0,0,0,0,3,1,2,1,7
Skyline Boar Stud,152,200,76,103.3217606,103.3296661,0.007905421,19478,202318,9.953947368,21.23421543,23,23,100,0,0,0,0,4,3,0,1,8
SPG9644,371,0,0,106.6951113,106.7598617,0.064750412,19478,202318,8.385281385,2.946412673,50,49,98,0,0,0,0,4,3,1,1,9
SPGNC,201,220,91.36363636,113.0533108,113.0630883,0.009777578,19478,202318,7.684848485,1.863664305,56,55,98.21428571,0,0,0,0,4,3,2,1,10
SPGVA,274,292,93.83561644,115.1396511,115.203123,0.020237409,19478,202318,6.954545455,1.47524525,87,85,97.70114943,0,0,0,0,4,3,2,1,10
MB 7081,184,200,92,104.0369898,104.0369898,0,19485,202319,7.884615385,3.317522469,45,39,86.66666667,11,0,0,11,4,2,2,0,8
MB 7082,197,200,98.5,105.2497569,105.2545918,0.002672922,19485,202319,7.656084656,1.992866938,66,65,98.48484848,0,0,0,0,4,3,2,1,10
MB 7092,459,250,183.6,105.3124442,105.3268987,0.014454551,19485,202319,7.757255937,2.320638679,145,141,97.24137931,0,0,0,0,4,3,2,1,10
MB 7093,407,450,90.44444444,104.2444819,104.2585653,0.014083373,19485,202319,6.516014235,1.309549999,60,60,100,10,0,0,10,4,3,2,0,9
MB 7094,469,450,104.2222222,107.4855216,107.5082965,0.022774948,19485,202319,8.49197861,3.395106057,489,427,87.32106339,0,0,0,0,4,2,1,1,8
MBW Cimarron,370,399,92.73182957,109.688648,109.7522117,0.063563745,19485,202319,6.571428571,2.500240759,100,87,87,0,0,0,0,4,2,2,1,9
MBW Cyclone,297,403,73.69727047,102.8401092,102.8823753,0.085626304,19485,202319,7.242320819,1.487154152,130,118,90.76923077,0,0,0,0,4,3,2,1,10
MBW Yuma,164,203,80.78817734,106.799273,106.799273,0,19485,202319,7.092592593,1.020324851,73,45,61.64383562,0,0,0,0,4,0,2,1,7
Skyline Boar Stud,150,200,75,102.1504675,102.1517312,0.001263687,19485,202319,6.335616438,0.956122898,23,23,100,0,0,0,0,4,3,2,1,10
SPG9644,367,0,0,106.1072786,106.1131455,0.005866963,19485,202319,9.41218638,4.912031392,50,49,98,0,0,0,0,4,3,0,1,8
SPGNC,215,220,97.72727273,113.7803233,113.7803233,0,19485,202319,8.022988506,2.192878708,56,55,98.21428571,2,0,0,2,4,3,1,0,8
SPGVA,274,292,93.83561644,114.5895009,114.5895009,0.011627907,19485,202319,6.861924686,1.847600664,87,85,97.70114943,0,0,0,0,4,3,2,1,10
MB 7081,184,200,92,104.3945896,104.3945896,0.146551724,19492,202320,7.328467153,1.627473182,61,54,88.52459016,11,0,0,11,3,2,2,0,7
MB 7082,196,200,98,105.1075713,105.1075713,0,19492,202320,7.354285714,1.57573972,66,65,98.48484848,0,0,0,0,4,3,2,1,10
MB 7092,458,250,183.2,105.2446312,105.2508519,0.006220721,19492,202320,8.147757256,2.640609595,145,141,97.24137931,0,0,0,0,4,3,1,1,9
MB 7093,486,450,108,105.2899336,105.4605829,0.17064925,19492,202320,7.82712766,2.787478334,60,60,100,10,0,0,10,3,3,2,0,8
MB 7094,467,450,103.7777778,106.7452845,106.7941346,0.048850083,19492,202320,7.794666667,2.303908173,191,190,99.47643979,0,0,0,0,4,3,2,1,10
MBW Cimarron,394,399,98.74686717,109.0810373,109.1390276,0.05799032,19492,202320,6.369863014,2.081491232,100,87,87,0,0,0,0,4,2,2,1,9
MBW Cyclone,295,403,73.20099256,101.3581782,101.4065573,0.104439371,19492,202320,7.141868512,1.580241928,130,118,90.76923077,0,0,0,0,3,3,2,1,9
MBW Yuma,193,203,95.07389163,106.2684508,106.2684508,0.010204082,19492,202320,6.837662338,1.122967469,73,45,61.64383562,0,0,0,0,4,0,2,1,7
Skyline Boar Stud,174,200,87,101.8057533,101.8057533,0,19492,202320,7.297297297,1.766889189,23,23,100,0,0,0,0,4,3,2,1,10
SPG9644,365,0,0,105.571432,105.5862274,0.014795396,19492,202320,8.455938697,4.488765161,50,49,98,0,0,0,0,4,3,1,1,9
SPGNC,214,220,97.27272727,114.3923783,114.3923783,0,19492,202320,8.547619048,2.490243294,86,83,96.51162791,2,0,0,2,4,3,1,0,8
SPGVA,274,292,93.83561644,113.2260842,113.2260842,0.02173913,19492,202320,7.361445783,1.975117268,87,85,97.70114943,0,0,0,0,4,3,2,1,10
MB 7081,184,200,92,104.3945896,104.3945896,0.146551724,19492,202320,7.328467153,1.627473182,61,54,88.52459016,11,0,0,11,3,2,2,0,7
MB 7082,196,200,98,105.1075713,105.1075713,0,19492,202320,7.354285714,1.57573972,66,65,98.48484848,0,0,0,0,4,3,2,1,10
MB 7092,458,250,183.2,105.2446312,105.2508519,0.006220721,19492,202320,8.147757256,2.640609595,145,141,97.24137931,0,0,0,0,4,3,1,1,9
MB 7093,486,450,108,104.1966186,104.2884898,0.091871201,19492,202320,7.82712766,2.787478334,60,60,100,10,0,0,10,4,3,2,0,9
MB 7094,467,450,103.7777778,106.7452845,106.7941346,0.048850083,19492,202320,7.794666667,2.303908173,191,190,99.47643979,0,0,0,0,4,3,2,1,10
MBW Cimarron,394,399,98.74686717,109.0810373,109.1390276,0.05799032,19492,202320,6.369863014,2.081491232,100,87,87,0,0,0,0,4,2,2,1,9
MBW Cyclone,295,403,73.20099256,101.3581782,101.4065573,0.104439371,19492,202320,7.141868512,1.580241928,130,118,90.76923077,0,0,0,0,3,3,2,1,9
MBW Yuma,193,203,95.07389163,106.2684508,106.2684508,0.010204082,19492,202320,6.837662338,1.122967469,73,45,61.64383562,0,0,0,0,4,0,2,1,7
Skyline Boar Stud,174,200,87,101.8057533,101.8057533,0,19492,202320,7.297297297,1.766889189,23,23,100,0,0,0,0,4,3,2,1,10
SPG9644,365,0,0,105.571432,105.5862274,0.014795396,19492,202320,8.455938697,4.488765161,50,49,98,0,0,0,0,4,3,1,1,9
SPGNC,214,220,97.27272727,114.3923783,114.3923783,0,19492,202320,8.547619048,2.490243294,86,83,96.51162791,2,0,0,2,4,3,1,0,8
SPGVA,274,292,93.83561644,113.2260842,113.2260842,0.02173913,19492,202320,7.361445783,1.975117268,87,85,97.70114943,0,0,0,0,4,3,2,1,10
MB 7081,184,200,92,103.9503492,103.9503492,0.120689655,19499,202321,9.132947977,4.033250029,61,54,88.52459016,11,0,0,11,3,2,0,0,5
MB 7082,208,200,104,105.556189,105.556189,0.044642857,19499,202321,7.409356725,1.650926708,46,45,97.82608696,0,0,0,0,4,3,2,1,10
MB 7092,455,250,182,104.9664311,104.9709278,0.00449668,19499,202321,7.873239437,2.757268655,145,141,97.24137931,0,0,0,0,4,3,2,1,10
MB 7093,483,450,107.3333333,104.7906961,104.7983504,0.007654304,19499,202321,7.24744898,1.338966897,60,60,100,0,0,0,0,4,3,2,1,10
MB 7094,464,450,103.1111111,107.0591625,107.0783598,0.019197278,19499,202321,8.477572559,2.908916855,191,190,99.47643979,0,0,0,0,4,3,1,1,9
MBW Cimarron,393,399,98.4962406,108.7350051,108.7915116,0.056506441,19499,202321,7.098404255,1.715310695,100,87,87,0,0,0,0,4,2,2,1,9
MBW Cyclone,294,403,72.9528536,102.8389207,103.8612954,1.20266954,19499,202321,5.699507389,1.865090913,130,118,90.76923077,0,0,0,0,0,3,1,1,5
MBW Yuma,182,203,89.65517241,106.4742721,106.5519249,0.989040167,19499,202321,7.1621621620000004,1.471054294,73,45,61.64383562,0,0,0,0,0,0,2,1,3
Skyline Boar Stud,171,200,85.5,101.1872192,101.1901968,0.002977612,19499,202321,7.1632653060000004,0.453914727,26,26,100,0,0,0,0,4,3,2,1,10
SPG9644,363,0,0,104.9163879,104.9867638,0.070375958,19499,202321,8.158273381,3.122664309,50,49,98,0,0,0,0,4,3,1,1,9
SPGNC,214,220,97.27272727,113.7524892,113.7524892,0,19499,202321,8.642857143,3.111280835,86,83,96.51162791,2,0,0,2,4,3,1,0,8
SPGVA,271,292,92.80821918,113.1106013,113.1106013,0.05,19499,202321,7.157657658,1.217299849,57,55,96.49122807,0,0,0,0,4,3,2,1,10
MB 7081,183,200,91.5,103.4369934,103.4369934,0.016,19506,202322,7.578616352,1.923813617,46,42,91.30434783,0,0,0,0,4,3,2,1,10
MB 7082,208,200,104,106.3237224,106.3301817,0.003739552,19506,202322,7.412371134,1.749922736,46,45,97.82608696,0,0,0,0,4,3,2,1,10
MB 7092,535,250,214,105.5868116,105.6521798,0.065368239,19506,202322,8.595930233,3.167268048,77,76,98.7012987,0,0,0,0,4,3,1,1,9
MB 7093,482,450,107.1111111,106.8152773,106.9361532,0.120875945,19506,202322,7.743362832,1.966187978,140,139,99.28571429,0,0,0,0,3,3,2,1,9
MB 7094,457,450,101.5555556,106.7494027,106.7672219,0.017819215,19506,202322,7.94,2.6634209,191,190,99.47643979,0,0,0,0,4,3,2,1,10
MBW Cimarron,393,399,98.4962406,108.6091897,108.6993443,0.090154617,19506,202322,7.194986072,1.27102538,125,109,87.2,0,0,0,0,4,2,2,1,9
MBW Cyclone,293,403,72.70471464,101.2187441,101.5100137,0.511372269,19506,202322,6.919678715,4.669907773,30,28,93.33333333,0,0,0,0,0,3,2,1,6
MBW Yuma,182,203,89.65517241,105.7623968,105.7623968,0.637168142,19506,202322,6.650306748,1.51752618,109,67,61.46788991,0,0,0,0,0,0,2,1,3
Skyline Boar Stud,171,200,85.5,100.7713681,100.7713681,0,19506,202322,6.807017544,0.597207122,26,26,100,0,0,0,0,4,3,2,1,10
SPG9644,359,0,0,104.7098318,104.7594357,0.049603878,19506,202322,7.606741573,3.469365321,50,49,98,0,0,0,0,4,3,2,1,10
SPGNC,214,220,97.27272727,112.858592,112.858592,0,19506,202322,8.543956044,2.900893701,86,83,96.51162791,0,0,0,0,4,3,1,1,9
SPGVA,270,292,92.46575342,113.8029934,113.8029934,0,19506,202322,6.864628821,1.487968551,57,55,96.49122807,0,0,0,0,4,3,2,1,10
MB 7081,196,200,98,104.0327446,104.0442584,0.016878206,19513,202323,7.992647059,2.402148185,46,42,91.30434783,0,0,0,0,4,3,2,1,10
MB 7082,208,200,104,106.3274686,106.3274686,0.166666667,19513,202323,7.612359551,2.080651801,73,72,98.63013699,0,0,0,0,3,3,2,1,9
MB 7092,532,250,212.8,106.6805594,106.69817,0.017610602,19513,202323,8.3657289,3.106115047,77,76,98.7012987,0,0,0,0,4,3,1,1,9
MB 7093,481,450,106.8888889,104.865309,105.0039333,0.138624283,19513,202323,7.565340909,2.77786179,140,139,99.28571429,0,0,0,0,3,3,2,1,9
MB 7094,457,450,101.5555556,106.6791576,106.6950284,0.015870874,19513,202323,9.0625,3.847789369,191,190,99.47643979,0,0,0,0,4,3,0,1,8
MBW Cimarron,392,399,98.24561404,108.3401728,108.4997606,0.159587774,19513,202323,6.535326087,1.27600018,125,109,87.2,0,0,0,0,3,2,2,1,8
MBW Cyclone,388,403,96.27791563,100.6486185,100.6914439,0.134474448,19513,202323,8.993006993,5.984185596,30,28,93.33333333,0,0,0,0,3,3,1,1,8
MBW Yuma,176,203,86.69950739,105.7493857,105.7493857,0.362068966,19513,202323,6.987951807,1.020920273,79,61,77.21518987,0,0,0,0,1,1,2,1,5
Skyline Boar Stud,169,200,84.5,101.1451766,101.1451766,0,19513,202323,7.176829268,1.00267113,26,26,100,0,0,0,0,4,3,2,1,10
SPG9644,356,0,0,104.5518464,104.6813495,0.129503163,19513,202323,8.794676806,3.213112773,50,49,98,1,0,0,1,3,3,1,0,7
SPGNC,203,220,92.27272727,113.940423,113.940423,0,19513,202323,8.073333333,2.279457921,58,56,96.55172414,6,0,0,6,4,3,1,0,8
SPGVA,269,292,92.12328767,113.8549727,113.8549727,0.013333333,19513,202323,7.162995595,1.331990929,84,82,97.61904762,0,0,0,0,4,3,2,1,10
MB 7081,195,200,97.5,106.3715478,106.4745746,0.085375271,19520,202324,8.41025641,3.26441576,46,42,91.30434783,0,0,0,0,4,3,1,1,9
MB 7082,207,200,103.5,105.7349428,105.7349428,0.014705882,19520,202324,7.732984293,2.279637782,73,72,98.63013699,0,0,0,0,4,3,2,1,10
MB 7092,484,250,193.6,106.7831638,106.7925545,0.009390723,19520,202324,8.506297229,3.098237629,164,163,99.3902439,6,0,0,6,4,3,1,0,8
MB 7093,476,450,105.7777778,104.9383487,105.0115816,0.073232942,19520,202324,9.454987835,3.620375023,140,139,99.28571429,0,0,0,0,4,3,0,1,8
MB 7094,454,450,100.8888889,106.5237665,106.5729273,0.049160755,19520,202324,7.92238806,2.395093594,191,190,99.47643979,0,0,0,0,4,3,2,1,10
MBW Cimarron,388,399,97.24310777,108.1818525,108.2395096,0.057657083,19520,202324,6.465020576,1.749206048,125,109,87.2,0,0,2,2,4,2,2,0,8
MBW Cyclone,388,403,96.27791563,103.8813458,103.9522752,0.120299676,19520,202324,7.494011976,1.970875039,30,28,93.33333333,0,0,0,0,3,3,2,1,9
MBW Yuma,171,203,84.2364532,105.3066417,105.3066417,0.080357143,19520,202324,7.012195122,1.379018077,79,61,77.21518987,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,168,200,84,100.4615635,100.4615635,0,19520,202324,6.788819876,0.492569004,26,26,100,0,0,0,0,4,3,2,1,10
SPG9644,354,0,0,104.9750794,105.2656039,0.290524502,19520,202324,8.7389937110000009,2.787611439,50,49,98,1,0,0,1,2,3,1,0,6
SPGNC,200,220,90.90909091,113.5646394,113.5646394,0,19520,202324,7.841463415,2.288780382,58,56,96.55172414,6,0,0,6,4,3,2,0,9
SPGVA,268,292,91.78082192,113.7985437,113.7985437,0,19520,202324,6.944915254,1.683820249,84,82,97.61904762,0,0,0,0,4,3,2,1,10
MB 7081,192,200,96,106.8176614,106.9528245,0.091717795,19527,202325,8.183006536,2.490608435,77,71,92.20779221,0,0,0,0,4,3,1,1,9
MB 7082,204,200,102,105.3279771,105.3279771,0,19527,202325,7.23,1.502794716,73,72,98.63013699,0,0,0,0,4,3,2,1,10
MB 7092,481,250,192.4,106.6820976,106.6828248,7.27e-4,19527,202325,8.357843137,2.672893739,164,163,99.3902439,3,0,0,3,4,3,1,0,8
