Boar Stud,Inventory,Target,Inventory to target,actual,target,Missed Index,WeekCommencing,yrwk,Average Days Rest,Standard Deviation,Total Boars,Boars Trained Within 14 Days,Percent Trained,Semen Quality Cull Errors,Will Not Train Errors,Index Cull Errors,Removal Reason Errors,IScore,TScore,RScore,CScore,Total
MB 7093,476,450,105.7777778,103.3529196,103.3913566,0.038437073,19527,202325,7.010666667,2.551060036,140,139,99.28571429,0,0,0,0,4,3,2,1,10
MB 7094,454,450,100.8888889,106.8898979,106.8931559,0.003257974,19527,202325,9.140401146,3.56472192,191,190,99.47643979,0,0,0,0,4,3,0,1,8
MBW Cimarron,384,399,96.2406015,108.1499962,108.2741108,0.12411455,19527,202325,9.019685039,3.943725479,25,22,88,0,0,4,4,3,2,0,0,5
MBW Cyclone,387,403,96.02977667,105.3225852,105.3585595,0.031828063,19527,202325,7.283746556,1.452540264,127,124,97.63779528,0,0,0,0,4,3,2,1,10
MBW Yuma,169,203,83.25123153,105.540903,105.540903,0.027272727,19527,202325,6.94375,1.18293354,79,61,77.21518987,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,226,200,113,108.4679297,108.4679297,0.352941176,19527,202325,7.298136646,1.735096253,26,26,100,0,0,0,0,1,3,2,1,7
SPG9644,352,0,0,104.2663085,104.317004,0.050695516,19527,202325,8.068656716,2.131472809,50,49,98,1,0,0,1,4,3,1,0,8
SPGNC,199,220,90.45454545,112.609923,112.8995839,0.289660967,19527,202325,7.865497076,2.348850073,88,86,97.72727273,6,0,0,6,2,3,2,0,7
SPGVA,268,292,91.78082192,114.3316437,114.3316437,0,19527,202325,7.073275862,2.061557338,84,82,97.61904762,0,0,0,0,4,3,2,1,10
MB 7081,192,200,96,105.9951887,106.1001511,0.088214166,19534,202326,8.350877193,3.155711319,77,71,92.20779221,0,0,0,0,4,3,1,1,9
MB 7082,205,200,102.5,104.8971292,105.0190584,0.135985561,19534,202326,6.958083832,1.253204535,46,45,97.82608696,0,1,0,1,3,3,2,0,8
MB 7092,475,250,190,106.6194577,106.6194577,0,19534,202326,8.213776722,2.417574589,164,163,99.3902439,3,0,0,3,4,3,1,0,8
MB 7093,470,450,104.4444444,105.252693,105.4057323,0.153039255,19534,202326,9.252279635,2.907130002,140,139,99.28571429,0,0,0,0,3,3,0,1,7
MB 7094,529,450,117.5555556,106.74398,106.7893394,0.045359403,19534,202326,8.492211838,2.639975455,100,99,99,0,0,0,0,4,3,1,1,9
MBW Cimarron,393,399,98.4962406,107.8473645,107.9098476,0.062483081,19534,202326,8.911680912,5.479901487,25,22,88,0,0,4,4,4,2,1,0,7
MBW Cyclone,382,403,94.78908189,105.0214856,105.0536399,0.028162026,19534,202326,7.296703297,1.676244691,127,124,97.63779528,0,0,0,0,4,3,2,1,10
MBW Yuma,167,203,82.26600985,105.3224761,105.3224761,0.018018018,19534,202326,7.101910828,1.104679518,79,61,77.21518987,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,226,200,113,110.1867822,110.2001593,0.013377194,19534,202326,7.190265487,3.535734143,83,83,100,0,0,0,0,4,3,2,1,10
SPG9644,348,0,0,104.0297842,104.076036,0.046251783,19534,202326,6.438356164,1.723977969,50,49,98,1,0,0,1,4,3,2,0,9
SPGNC,199,220,90.45454545,110.9026728,111.0131069,0.110434125,19534,202326,7.943820225,2.600997421,88,86,97.72727273,6,0,0,6,3,3,2,0,8
SPGVA,267,292,91.43835616,114.7277489,114.7277489,0,19534,202326,6.693430657,1.185463696,59,58,98.30508475,1,0,1,2,4,3,2,0,9
MB 7081,192,200,96,105.9951887,106.1001511,0.088214166,19534,202326,8.350877193,3.155711319,77,71,92.20779221,0,0,0,0,4,3,1,1,9
MB 7082,205,200,102.5,104.8971292,105.0190584,0.135985561,19534,202326,6.958083832,1.253204535,46,45,97.82608696,0,1,0,1,3,3,2,0,8
MB 7092,475,250,190,106.6194577,106.6194577,0,19534,202326,8.213776722,2.417574589,164,163,99.3902439,3,0,0,3,4,3,1,0,8
MB 7093,470,450,104.4444444,105.252693,105.4057323,0.153039255,19534,202326,9.252279635,2.907130002,140,139,99.28571429,0,0,0,0,3,3,0,1,7
MB 7094,529,450,117.5555556,106.74398,106.7893394,0.045359403,19534,202326,8.492211838,2.639975455,100,99,99,0,0,0,0,4,3,1,1,9
MBW Cimarron,393,399,98.4962406,107.8473645,107.9098476,0.062483081,19534,202326,8.911680912,5.479901487,25,22,88,0,0,4,4,4,2,1,0,7
MBW Cyclone,382,403,94.78908189,105.0214856,105.0536399,0.028162026,19534,202326,7.296703297,1.676244691,127,124,97.63779528,0,0,0,0,4,3,2,1,10
MBW Yuma,167,203,82.26600985,105.3224761,105.3224761,0.018018018,19534,202326,7.101910828,1.104679518,79,61,77.21518987,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,226,200,113,107.6074921,107.6074921,0,19534,202326,7.190265487,3.535734143,83,83,100,0,0,0,0,4,3,2,1,10
SPG9644,348,0,0,104.0297842,104.076036,0.046251783,19534,202326,6.438356164,1.723977969,50,49,98,1,0,0,1,4,3,2,0,9
SPGNC,199,220,90.45454545,110.9026728,111.0131069,0.110434125,19534,202326,7.943820225,2.600997421,88,86,97.72727273,6,0,0,6,3,3,2,0,8
SPGVA,267,292,91.43835616,113.745456,113.745456,0.025,19534,202326,7.092592593,1.847875144,59,58,98.30508475,1,0,2,3,4,3,2,0,9
MB 7081,191,200,95.5,106.062635,106.1689912,0.146456308,19541,202327,7.235714286,1.365614281,77,71,92.20779221,0,0,0,0,3,3,2,1,9
MB 7082,205,200,102.5,105.2020054,105.2020054,0,19541,202327,7.678947368,2.022905592,46,45,97.82608696,0,1,0,1,4,3,2,0,9
MB 7092,472,250,188.8,106.4070757,106.4074979,4.22e-4,19541,202327,7.687640449,1.528691089,164,163,99.3902439,3,0,0,3,4,3,2,0,9
MB 7093,409,450,90.88888889,104.8330934,104.9355214,0.102428052,19541,202327,7.660436137,2.326469656,80,79,98.75,0,0,0,0,3,3,2,1,9
MB 7094,487,450,108.2222222,107.9914379,108.0457144,0.054276501,19541,202327,8.973509934,2.760535891,100,99,99,15,0,0,15,4,3,1,0,8
MBW Cimarron,392,399,98.24561404,108.2311831,108.2558409,0.024657806,19541,202327,6.877300613,1.54231796,25,22,88,0,0,4,0,4,2,2,1,8
MBW Cyclone,377,403,93.5483871,103.9734966,103.9734966,0.012383901,19541,202327,7.167146974,1.818582211,127,124,97.63779528,0,0,0,0,4,3,2,1,10
MBW Yuma,158,203,77.83251232,105.47144780000001,105.47144780000001,0.020408163,19541,202327,7.393548387,1.311768778,79,61,77.21518987,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,224,200,112,108.0580288,108.0580288,0,19541,202327,7.084821429,0.409464229,83,83,100,0,0,0,0,4,3,2,1,10
SPG9644,344,0,0,104.1493391,104.1629097,0.013570618,19541,202327,9.313069909,3.059747419,50,49,98,0,0,0,0,4,3,0,1,8
SPGNC,197,220,89.54545455,112.2072718,112.2072718,0,19541,202327,7.877906977,1.96822128,88,86,97.72727273,0,0,0,0,4,3,2,1,10
SPGVA,267,292,91.43835616,114.3261787,114.3261787,0.024096386,19541,202327,7.581818182,1.42951164,59,58,98.30508475,0,0,2,2,4,3,2,0,9
MB 7081,189,200,94.5,106.1912398,106.2537771,0.044419023,19548,202328,8.919463087,4.430418165,47,44,93.61702128,0,0,0,0,4,3,1,1,9
MB 7082,205,200,102.5,105.0281991,105.0281991,0.007575758,19548,202328,7.439790576,1.64965322,69,68,98.55072464,0,0,0,0,4,3,2,1,10
MB 7092,547,250,218.8,106.7762752,106.7908427,0.014567482,19548,202328,7.773087071,1.215514227,164,163,99.3902439,0,0,0,0,4,3,2,1,10
MB 7093,408,450,90.66666667,105.1187298,105.1301173,0.01138749,19548,202328,9.485254692,3.493145708,80,79,98.75,0,0,0,0,4,3,0,1,8
MB 7094,486,450,108,107.1735721,107.6511931,0.47762102,19548,202328,9.907356948,3.399152151,179,178,99.44134078,16,0,0,16,0,3,0,0,3
MBW Cimarron,389,399,97.49373434,107.9658865,107.9705633,0.004676781,19548,202328,6.389333333,2.098610014,34,31,91.17647059,0,0,0,0,4,3,2,1,10
MBW Cyclone,375,403,93.05210918,104.6063375,104.6834982,0.094863161,19548,202328,7.834733894,2.151070611,127,124,97.63779528,0,0,0,0,4,3,2,1,10
MBW Yuma,188,203,92.61083744,105.1651759,105.1651759,0.02020202,19548,202328,6.617834395,1.152116402,79,61,77.21518987,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,221,200,110.5,107.8967522,107.8967522,0,19548,202328,7,0.545595472,83,83,100,0,0,0,0,4,3,2,1,10
SPG9644,344,0,0,103.8419508,105.4111853,1.569234461,19548,202328,7.170068027,0.655578273,50,49,98,0,0,0,0,0,3,2,1,6
SPGNC,195,220,88.63636364,111.5504654,111.7154131,0.164947714,19548,202328,7.530201342,2.15468392,60,58,96.66666667,0,0,2,2,3,3,2,0,8
SPGVA,266,292,91.09589041,113.597915,113.749214,0.155927216,19548,202328,6.355769231,1.382557102,84,77,91.66666667,0,0,2,2,3,3,2,0,8
MB 7081,189,200,94.5,105.749737,105.749737,0.025,19555,202329,7.935064935,3.450253992,47,44,93.61702128,0,0,0,0,4,3,2,1,10
MB 7082,204,200,102,105.2314461,105.3610678,0.106720786,19555,202329,7.575418994,1.29331002,69,68,98.55072464,0,0,0,0,3,3,2,1,9
MB 7092,503,250,201.2,107.6753151,107.6773799,0.002064779,19555,202329,8.071729958,1.639600568,164,163,99.3902439,0,0,0,0,4,3,1,1,9
MB 7093,407,450,90.44444444,104.3520668,104.3696786,0.017611767,19555,202329,7.020547945,1.212586784,80,79,98.75,0,0,0,0,4,3,2,1,10
MB 7094,484,450,107.5555556,107.4644256,107.590987,0.126561378,19555,202329,9.062330623,2.61349258,179,178,99.44134078,16,0,0,16,3,3,0,0,6
MBW Cimarron,388,399,97.24310777,107.5073696,107.5109423,0.003572698,19555,202329,7.145658263,2.117626514,34,31,91.17647059,0,0,0,0,4,3,2,1,10
MBW Cyclone,374,403,92.80397022,104.5974305,104.598324,0.004201831,19555,202329,6.963963964,1.113400803,127,124,97.63779528,0,0,0,0,4,3,2,1,10
MBW Yuma,188,203,92.61083744,105.0506042,105.0506042,0.038095238,19555,202329,6.694805195,1.269696696,79,61,77.21518987,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,220,200,110,108.1044417,108.1044417,0,19555,202329,7.34841629,1.420902315,83,83,100,0,0,0,0,4,3,2,1,10
SPG9644,342,0,0,104.4612167,104.5313496,0.070132934,19555,202329,10.44339623,3.36735166,50,49,98,0,0,0,0,4,3,0,1,8
SPGNC,195,220,88.63636364,112.4158763,112.4158763,0,19555,202329,7.355828221,2.059848315,60,58,96.66666667,0,0,2,2,4,3,2,0,9
SPGVA,265,292,90.75342466,114.0279885,114.0279885,0,19555,202329,7.538095238,1.366368494,84,77,91.66666667,0,0,2,2,4,3,2,0,9
MB 7081,188,200,94,105.5937548,105.5985427,0.003314731,19562,202330,8.621118012,3.579357658,61,55,90.16393443,0,0,0,0,4,3,1,1,9
MB 7082,204,200,102,105.2434169,105.2434169,0,19562,202330,7.885057471,2.886785869,69,68,98.55072464,0,0,0,0,4,3,2,1,10
MB 7092,501,250,200.4,107.881261,107.9038523,0.0225913,19562,202330,7.594713656,1.231868332,241,240,99.58506224,0,0,2,2,4,3,2,0,9
MB 7093,484,450,107.5555556,105.3031447,105.3906566,0.087511889,19562,202330,9.135211268,3.144140752,80,79,98.75,0,0,0,0,4,3,0,1,8
MB 7094,484,450,107.5555556,107.168163,108.2438566,1.075693644,19562,202330,9.358433735,3.051593802,79,79,100,16,0,0,16,0,3,0,0,3
MBW Cimarron,386,399,96.74185464,107.6953465,107.6953465,0,19562,202330,7.051428571,1.948531359,34,31,91.17647059,0,0,0,0,4,3,2,1,10
MBW Cyclone,345,403,85.60794045,103.9841774,104.0194216,0.034468318,19562,202330,7.213450292,1.759280485,97,96,98.96907216,1,0,0,1,4,3,2,0,9
MBW Yuma,186,203,91.62561576,104.8607738,104.8607738,0,19562,202330,7.150289017,1.285185005,66,50,75.75757576,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,219,200,109.5,108.5485024,108.588161,0.039658548,19562,202330,7.094339623,0.467489045,83,83,100,0,0,0,0,4,3,2,1,10
SPG9644,342,0,0,103.0297987,103.0631622,0.033363489,19562,202330,5.326797386,1.905083454,50,49,98,0,0,0,0,4,3,1,1,9
SPGNC,195,220,88.63636364,112.4463844,112.4463844,0,19562,202330,8.112359551,2.374241251,89,87,97.75280899,0,0,2,2,4,3,1,0,8
SPGVA,259,292,88.69863014,113.2386394,113.2386394,0,19562,202330,6.672316384,1.387841584,84,77,91.66666667,0,0,0,0,4,3,2,1,10
MB 7081,188,200,94,105.5937548,105.5985427,0.003314731,19562,202330,8.621118012,3.579357658,61,55,90.16393443,0,0,0,0,4,3,1,1,9
MB 7082,204,200,102,105.2434169,105.2434169,0,19562,202330,7.885057471,2.886785869,69,68,98.55072464,0,0,0,0,4,3,2,1,10
MB 7092,501,250,200.4,107.881261,107.9038523,0.0225913,19562,202330,7.594713656,1.231868332,241,240,99.58506224,0,0,2,2,4,3,2,0,9
MB 7093,484,450,107.5555556,105.3031447,105.3906566,0.087511889,19562,202330,9.135211268,3.144140752,80,79,98.75,0,0,0,0,4,3,0,1,8
MB 7094,484,450,107.5555556,107.0989479,107.6007759,0.501828003,19562,202330,9.358433735,3.051593802,79,79,100,16,0,0,16,0,3,0,0,3
MBW Cimarron,386,399,96.74185464,107.6953465,107.6953465,0,19562,202330,7.051428571,1.948531359,34,31,91.17647059,0,0,0,0,4,3,2,1,10
MBW Cyclone,345,403,85.60794045,103.9841774,104.0194216,0.034468318,19562,202330,7.213450292,1.759280485,97,96,98.96907216,1,0,0,1,4,3,2,0,9
MBW Yuma,186,203,91.62561576,104.8607738,104.8607738,0,19562,202330,7.150289017,1.285185005,66,50,75.75757576,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,219,200,109.5,108.5485024,108.588161,0.039658548,19562,202330,7.094339623,0.467489045,83,83,100,0,0,0,0,4,3,2,1,10
SPG9644,342,0,0,103.0297987,103.0631622,0.033363489,19562,202330,5.326797386,1.905083454,50,49,98,0,0,0,0,4,3,1,1,9
SPGNC,195,220,88.63636364,112.4463844,112.4463844,0,19562,202330,8.112359551,2.374241251,89,87,97.75280899,0,0,2,2,4,3,1,0,8
SPGVA,259,292,88.69863014,113.2386394,113.2386394,0,19562,202330,6.672316384,1.387841584,84,77,91.66666667,0,0,0,0,4,3,2,1,10
MB 7081,188,200,94,105.4963195,105.4982542,0.063847377,19569,202331,7.9121621620000004,2.536613668,61,55,90.16393443,0,0,0,0,4,3,2,1,10
MB 7082,205,200,102.5,105.8149642,105.8149642,0.048076923,19569,202331,8.120253165,2.384551113,50,50,100,0,0,0,0,4,3,1,1,9
MB 7092,499,250,199.6,107.191339,107.2274512,0.036112201,19569,202331,7.248322148,1.3270523,164,164,100,0,0,2,2,4,3,2,0,9
MB 7093,483,450,107.3333333,106.4663334,106.490155,0.023821541,19569,202331,6.853503185,1.451297917,80,79,98.75,0,0,0,0,4,3,2,1,10
MB 7094,481,450,106.8888889,107.3932255,107.6213724,0.228146903,19569,202331,9.662371134,3.086509204,79,79,100,0,0,0,0,2,3,0,1,6
MBW Cimarron,337,399,84.46115288,107.6023951,107.6023951,0,19569,202331,6.758513932,1.143662101,34,31,91.17647059,0,0,0,0,4,3,2,1,10
MBW Cyclone,343,403,85.11166253,104.794438,104.794438,0,19569,202331,7.307462687,0.877754592,97,96,98.96907216,1,0,0,1,4,3,2,0,9
MBW Yuma,176,203,86.69950739,105.0830006,105.0830006,0,19569,202331,7.244186047,1.450436889,66,50,75.75757576,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,218,200,109,108.5173174,108.5173174,0,19569,202331,7.211009174,0.896212147,83,83,100,0,0,0,0,4,3,2,1,10
SPG9644,338,0,0,103.5114077,103.889691,0.378283341,19569,202331,11.45547945,3.872726573,50,49,98,0,0,0,0,1,3,0,1,5
SPGNC,194,220,88.18181818,111.2248554,111.8182071,0.593351697,19569,202331,7.450549451,1.998694249,89,87,97.75280899,0,0,2,2,0,3,2,0,5
SPGVA,258,292,88.35616438,112.3382066,113.5793151,0.595033205,19569,202331,7.005181347,1.401254681,52,46,88.46153846,0,0,0,0,0,2,2,1,5
MB 7081,188,200,94,105.7204426,105.7204426,0,19576,202332,9.030120482,3.551226333,61,55,90.16393443,0,0,0,0,4,3,0,1,8
MB 7082,204,200,102,107.8992036,107.8992036,0,19576,202332,7.505494505,1.409310998,50,50,100,0,0,0,0,4,3,2,1,10
MB 7092,496,250,198.4,107.367728,107.3700723,0.002344313,19576,202332,7.479069767,1.542945166,164,164,100,0,0,2,2,4,3,2,0,9
MB 7093,480,450,106.6666667,106.6240681,106.6275205,0.003452412,19576,202332,9.231981982,3.270742405,160,158,98.75,0,0,0,0,4,3,0,1,8
MB 7094,479,450,106.4444444,107.1050057,107.1146241,0.00961843,19576,202332,7.587458746,2.963035149,79,79,100,0,0,0,0,4,3,2,1,10
MBW Cimarron,335,399,83.95989975,107.2680977,107.2680977,0,19576,202332,7.0125,1.0443909,34,31,91.17647059,0,0,0,0,4,3,2,1,10
MBW Cyclone,343,403,85.11166253,104.5487119,104.6389946,0.106477067,19576,202332,7.061538462,1.631829647,97,96,98.96907216,1,0,0,1,3,3,2,0,8
MBW Yuma,172,203,84.72906404,104.0469254,104.0526302,0.003644713,19576,202332,6.389534884,1.721724219,66,50,75.75757576,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,218,200,109,107.4238231,107.4238231,0,19576,202332,6.961904762,0.435808867,83,83,100,0,0,0,0,4,3,2,1,10
SPG9644,336,0,0,103.9682567,104.070219,0.101962303,19576,202332,7.946938776,1.918749384,50,49,98,0,0,0,0,3,3,2,1,9
SPGNC,194,220,88.18181818,112.0989439,112.0989439,0,19576,202332,7.518072289,1.808139481,89,87,97.75280899,0,0,0,0,4,3,2,1,10
SPGVA,258,292,88.35616438,113.8936441,113.9420851,0.016540835,19576,202332,7.645833333,2.493884317,81,66,81.48148148,0,0,0,0,4,2,2,1,9
MB 7081,212,200,106,106.3142531,106.3142531,0.04,19583,202333,8.143939394,2.960638924,45,40,88.88888889,2,0,0,2,4,2,1,0,7
MB 7082,203,200,101.5,107.862148,107.862148,0.008064516,19583,202333,7.368159204,1.66546723,83,83,100,0,0,0,0,4,3,2,1,10
MB 7092,493,250,197.2,107.2817005,107.2861357,0.004435142,19583,202333,7.598591549,1.616356946,164,164,100,0,0,2,2,4,3,2,0,9
MB 7093,478,450,106.2222222,106.1630341,106.1640197,9.86e-4,19583,202333,7.062827225,1.284361976,160,158,98.75,0,0,0,0,4,3,2,1,10
MB 7094,478,450,106.2222222,106.7071073,106.7313374,0.024230075,19583,202333,10.07888631,3.897321043,79,79,100,0,0,0,0,4,3,0,1,8
MBW Cimarron,331,399,82.95739348,106.7727122,106.7727122,0,19583,202333,6.741324921,1.183735564,34,31,91.17647059,0,0,0,0,4,3,2,1,10
MBW Cyclone,341,403,84.61538462,103.834133,103.8779196,0.054374314,19583,202333,7.301886792,1.844951221,97,96,98.96907216,1,0,0,1,4,3,2,0,9
MBW Yuma,169,203,83.25123153,103.9348768,103.9348768,0.02,19583,202333,7.03030303,1.196663259,66,50,75.75757576,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,216,200,108,108.0610427,108.0610427,0,19583,202333,7.442307692,1.955183489,83,83,100,0,0,0,0,4,3,2,1,10
SPG9644,334,0,0,103.3781492,103.4055474,0.027398262,19583,202333,7.814946619,2.822345291,50,49,98,0,0,0,0,4,3,2,1,10
SPGNC,196,220,89.09090909,113.1183625,113.1183625,0,19583,202333,8.106666667,2.458096242,59,59,100,0,0,0,0,4,3,1,1,9
SPGVA,258,292,88.35616438,113.0822298,113.0829951,0.433681936,19583,202333,8.311377246,2.325614808,81,66,81.48148148,0,0,0,0,0,2,1,1,4
MB 7081,211,200,105.5,107.9799103,107.9799103,0,19590,202334,8.65060241,3.278705343,45,40,88.88888889,2,0,0,2,4,2,1,0,7
MB 7082,202,200,101,108.0500641,108.0500641,0,19590,202334,7.109375,1.113231053,83,83,100,0,0,0,0,4,3,2,1,10
MB 7092,490,250,196,107.6879223,107.8288709,0.140948563,19590,202334,7.73015873,1.604601968,164,164,100,0,0,0,0,3,3,2,1,9
MB 7093,428,450,95.11111111,106.4853338,106.4982363,0.012902546,19590,202334,8.564516129,2.92560571,160,158,98.75,0,0,0,0,4,3,1,1,9
MB 7094,477,450,106,106.0285874,106.0859667,0.057379308,19590,202334,7.251497006,2.438969316,79,79,100,0,0,0,0,4,3,2,1,10
MBW Cimarron,331,399,82.95739348,106.9452446,106.9457375,4.93e-4,19590,202334,6.968553459,0.858590905,34,31,91.17647059,0,0,0,0,4,3,2,1,10
MBW Cyclone,340,403,84.36724566,104.2321796,104.2397963,0.010827833,19590,202334,7.653846154,2.375257904,97,96,98.96907216,0,0,0,0,4,3,2,1,10
MBW Yuma,167,203,82.26600985,104.1714492,104.1714492,0.032608696,19590,202334,7.161676647,1.385455278,66,50,75.75757576,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,214,200,107,108.3290069,108.3290069,0,19590,202334,6.774509804,1.606065245,57,57,100,0,0,0,0,4,3,2,1,10
SPG9644,331,0,0,106.9649579,107.0610573,0.096099387,19590,202334,8.389705882,3.129720835,50,49,98,0,0,0,0,4,3,1,1,9
SPGNC,196,220,89.09090909,112.9630643,112.9630643,0,19590,202334,7.418181818,2.138704666,59,59,100,0,0,0,0,4,3,2,1,10
SPGVA,256,292,87.67123288,112.9780203,112.9780203,0,19590,202334,10.01604278,4.516964362,81,66,81.48148148,0,0,0,0,4,2,0,1,7
MB 7081,210,200,105,108.5831389,108.5831389,0,19597,202335,7.85106383,2.593773231,83,77,92.77108434,2,0,0,2,4,3,2,0,9
MB 7082,202,200,101,107.6982787,107.6982787,0,19597,202335,7.259067358,1.508736074,83,83,100,0,0,0,0,4,3,2,1,10
MB 7092,485,250,194,107.2138979,107.2138979,0,19597,202335,7.344660194,1.213326501,164,164,100,0,0,0,0,4,3,2,1,10
MB 7093,426,450,94.66666667,105.586139,105.6360393,0.049900342,19597,202335,7.653846154,2.547180905,80,79,98.75,0,0,0,0,4,3,2,1,10
MB 7094,474,450,105.3333333,106.2284546,106.2573807,0.028926081,19597,202335,9.316353887,3.562298944,79,79,100,0,0,0,0,4,3,0,1,8
MBW Cimarron,330,399,82.70676692,106.6459225,106.6471057,0.001183193,19597,202335,6.835403727,1.011270441,9,9,100,0,0,0,0,4,3,2,1,10
MBW Cyclone,313,403,77.6674938,104.5535141,104.5535141,0.013157895,19597,202335,7.621794872,1.965434256,97,96,98.96907216,1,0,0,1,4,3,2,0,9
MBW Yuma,166,203,81.77339901,103.5313013,103.5313013,0.00990099,19597,202335,6.843373494,1.343734531,30,28,93.33333333,0,0,0,0,4,3,2,1,10
Skyline Boar Stud,211,200,105.5,107.6848509,107.6848509,0,19597,202335,6.995098039,0.912407895,58,58,100,0,0,0,0,4,3,2,1,10
SPG9644,227,0,0,104.9416216,105.654377,0.712755401,19597,202335,11.2364532,3.687448772,50,49,98,0,0,2,2,0,3,0,0,3
